,feature_name,cultured_feature_counts,uncultured_feature_counts
71,Prophage antirepressor,1,0
72,Predicted choloylglycine hydrolase,1,0
73,"ABC-type uncharacterized transport system, periplasmic component",0,1
74,"Uncharacterized conserved protein, radical SAM superfamily",0,1
75,"Uncharacterized conserved protein, DUF721 domain",1,0
76,NAD kinase,1,0
77,"Uncharacterized protein, contains DUF1214 domain",0,1
78,"Uncharacterized conserved protein, PA2063/DUF2235 family",1,0
79,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,0,1
80,Glutaredoxin-related protein,1,0
81,"Uncharacterized conserved protein, DUF2087 family",1,0
82,"Uncharacterized conserved protein, DUF2126 family",0,2
83,"Uncharacterized conserved protein, DUF2111 domain",1,0
84,"Uncharacterized conserved protein, contains DUF2130 domain",1,0
85,Predicted deacetylase,0,1
86,"Uncharacterized conserved protein, contains thioredoxin-like domain",1,0
87,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains",0,1
88,"Uncharacterized conserved protein, DUF2333 domain",2,0
89,"Predicted acyltransferase, LPLAT superfamily",0,2
90,"Predicted hydrolase, HD superfamily",0,1
91,"Uncharacterized membrane protein MJ1443, UPF0132 family",1,0
92,"Uncharacterized conserved protein, related to short-chain dehydrogenases",0,1
93,"Uncharacterized conserved protein, DUF1330 family",1,0
94,"Uncharacterized conserved protein MTH_811, UPF0305 family",1,0
95,"Uncharacterized conserved protein, DUF2076 domain",1,0
96,"Uncharacterized protein, contains SWIM-type Zn finger domain",0,1
97,"Endonuclease, HJR/Mrr/RecB family",0,0
98,Conjugal transfer/entry exclusion protein,0,1
99,"Uncharacterized metal-binding protein, DUF2227 family",0,1
100,"Uncharacterized conserved protein, DUF2336 family",0,3
101,Uncharacterized conserved protein,0,1
102,"Uncharacterized metal-binding protein, DUF2103 family",0,1
103,"Uncharacterized conserved protein, DUF2225 family",1,0
104,"Predicted transcriptional regulator, contains two HTH domains",1,0
105,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",1,0
106,"Uncharacterized conserved protein, DUF1802 family",1,0
107,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",0,1
108,"Uncharacterized conserved protein, DUF2239 domain",0,1
109,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",0,1
110,Predicted exporter,1,0
111,"Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain",0,2
112,"Uncharacterized conserved protein, DUF2093 domain",0,1
113,"Uncharacterized conserved protein, DUF1499 family",1,0
114,Ubiquinone biosynthesis protein COQ9,0,1
115,Mannosyltransferase related to Gpi18,1,0
116,"Uncharacterized protein, contains PD-(D/E)XK nuclease domain",1,0
117,Type 1 glutamine amidotransferase (GATase1)-like domain,1,0
118,Steroid 5-alpha reductase family enzyme,0,1
119,"Predicted phage recombinase, RecA/RadA family",0,1
120,"Predicted metal-dependent hydrolase, TIM-barrel fold",0,0
121,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",0,1
122,"Uncharacterized conserved protein, DUF1073 domain",1,0
123,Predicted heme/steroid binding protein,0,1
124,"Uncharacterized membrane protein, contains DUF996 domain",1,0
125,"Uncharacterized conserved protein, DUF2330 domain",1,0
126,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",1,0
127,Phage-related holin (Lysis protein),0,1
128,Predicted outer membrane lipoprotein,0,2
129,"Uncharacterized Zn-finger containing protein, UPF0148 family",0,1
130,"Uncharacterized conserved protein, DUF169 family",0,2
131,Uncharacterized conserved protein BH1414,0,1
132,"Uncharacterized protein, contains Mth938-like domain",0,1
133,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",0,1
134,"Uncharacterized conserved protein, DUF2125 domain",1,0
135,"Uncharacterized conserved protein, DUF1704 domain",0,1
136,"Predicted transcriptional regulator, contains HTH domain",0,1
137,Bacteriorhodopsin,0,1
138,Predicted aminopeptidase,0,1
139,"Uncharacterized conserved protein, DUF2193 domain",1,0
140,"Adenine-specific DNA methylase, contains a Zn-ribbon domain",1,1
141,"Predicted DNA-binding transcriptional regulator, ArsR family",0,2
142,Uncharacterized integral membrane protein,1,1
143,Predicted aspartyl protease,0,1
144,"Uncharacterized conserved protein, DUF2096 domain",0,1
145,Predicted dienelactone hydrolase,0,1
146,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",0,1
147,"Predicted transcriptional regulator,contains XRE-type HTH domain",1,0
148,Predicted ABC-type ATPase or kinase,2,0
149,Phage tail protein,1,0
150,"Uncharacterized conserved protein, cupin superfamily",1,0
151,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",0,1
152,"Uncharacterized membrane protein, DUF2127 domain",0,1
153,"Uncharacterized protein, contains DUF3084 domain",1,0
154,Signal transduction histidine kinase regulating phosphoglycerate transport system,1,1
155,"Uncharacterized conserved protein, DUF1062 domain",1,0
156,Predicted cation transporter,0,0
157,"Predicted nucleic acid-binding protein, contains PIN domain",0,1
158,"Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats",0,2
159,"Superfamily II helicase, archaea-specific",1,0
160,Superfamily I DNA and RNA helicases,1,0
161,Putative component of the toxin-antitoxin plasmid stabilization module,1,0
162,Predicted nuclease (RNAse H fold),1,1
163,"Predicted transciptional regulator, contains HTH domain",1,0
164,Predicted metal-dependent hydrolase,1,0
165,"Metal-dependent phosphatase/phosphodiesterase, HD supefamily",1,0
166,"Uncharacterized membrane protein, DUF4212 domain",0,1
167,Predicted methyltransferase,0,1
168,Muramidase (phage lambda lysozyme),0,1
169,Predicted RNA methylase,1,0
170,"Uncharacterized conserved protein, DUF1015 family",0,1
171,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,0,1
172,Predicted oxidoreductase,2,0
173,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",0,1
174,"Uncharacterized conserved protein, DUF937 domain",0,2
175,"Predicted nucleic acid-binding protein, contains SWIM-type Zn-finger domain",0,1
176,Selenophosphate synthetase-related protein,1,0
177,"Uncharacterized membrane protein, DUF373 family",0,1
178,"Uncharacterized conserved protein, contains Zn-finger domain of CHY type",0,1
179,Predicted small secreted protein,1,0
180,"Predicted sugar epimerase, xylose isomerase-like family",0,1
181,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",1,0
182,"DNA replication initiation complex subunit, GINS family",1,0
183,"Uncharacterized conserved protein, contains ACT domain",1,0
184,"Uncharacterized conserved protein, DUF2164 family",0,0
185,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily",1,0
186,Predicted metallopeptidase,0,0
187,"Uncharacterized conserved protein, UPF0262 family",0,0
188,"Uncharacterized conserved protein, DUF2262 domain",0,1
189,"Uncharacterized membrane protein, DUF368 family",1,0
190,Predicted transcriptional regulator,0,1
191,"Uncharacterized conserved protein, DUF1152 domain",1,0
192,"Uncharacterized conserved protein, DUF2274 domain",2,0
193,"Uncharacterized conserved protein, DUF2316 domain",0,1
194,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),1,0
195,"Uncharacterized membrane protein, DUF1361 domain",0,3
196,Mu-like prophage DNA circulation protein,1,0
197,"Uncharacterized conserved protein, DUF2062 family",1,0
198,Mu-like prophage I protein,0,1
199,"Uncharacterized conserved protein, DUF2251 domain",1,0
200,"Phage-related protein, tail assembly protein I",0,2
201,Uncharacterized membrane protein YjcL,0,1
202,"Uncharacterized small protein, DUF1192 family",1,1
203,Adenine-specific DNA methylase,0,1
204,Predicted archaeal methyltransferase,0,1
205,"Uncharacterized conserved protein, DUF2132 family",1,0
206,"Predicted regulator of amino acid metabolism, contains ACT domain",0,1
207,"Uncharacterized conserved protein, DUF697 family",1,0
