,feature_name,cultured_feature_counts,uncultured_feature_counts
82,Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis,1,2
83,Heme biosynthesis!!!Menaquinone biosynthesis,1,0
84,Pyridoxal phosphate biosynthesis!!!Serine biosynthesis,1,1
85,Molybdopterin biosynthesis!!!Urea cycle!!!Molybdopterin biosynthesis,0,1
86,Pyrimidine degradation!!!Biotin biosynthesis,1,0
87,Arginine biosynthesis!!!Biotin biosynthesis!!!Proline degradation,1,0
88,Na+-translocating Fd:NADH oxidoreductase,1,0
89,Heme biosynthesis!!!Aminoacyl-tRNA synthetases,0,1
90,"Isoleucine, leucine, valine biosynthesis!!!Methionine biosynthesis",0,2
91,Phospholipid biosynthesis!!!Serine biosynthesis,1,0
92,Pentose phosphate pathway,0,1
93,tRNA modification!!!tRNA modification,0,2
94,Pyrimidine biosynthesis,1,0
95,Lipoate biosynthesis,1,0
96,NAD biosynthesis!!!NAD biosynthesis,1,1
97,Methionine biosynthesis,1,1
98,Biotin biosynthesis!!!Fatty acid biosynthesis!!!Menaquinone biosynthesis,1,1
99,Pyrimidine degradation!!!Cobalamine/B12 biosynthesis,1,0
100,Lysine biosynthesis,1,0
101,Cysteine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,0,1
102,Molybdopterin biosynthesis,1,0
103,Entner-Doudoroff pathway,2,1
104,NADH dehydrogenase!!!NADH dehydrogenase,1,2
105,Asparagine biosynthesis,0,1
106,Heme biosynthesis,1,0
107,Aminoacyl-tRNA synthetases,0,1
108,Photosystem II,1,1
109,23S rRNA modification!!!tRNA modification,3,1
110,Proline biosynthesis,1,0
111,Serine biosynthesis!!!Serine biosynthesis,1,1
112,Glutamine biosynthesis!!!Non-phosphorylated Entner-Doudoroff pathway,0,1
113,Cysteine biosynthesis!!!Urea cycle,1,0
114,Molybdopterin biosynthesis!!!Urea cycle,1,0
115,Folate biosynthesis,1,0
116,Fatty acid biosynthesis!!!Cysteine biosynthesis,0,1
117,Menaquinone biosynthesis,0,1
118,tRNA modification!!!Arginine biosynthesis,0,2
119,Proline degradation!!!Pyrimidine degradation,1,0
120,"TCA cycle, glyoxylate bypass",0,1
121,Mureine biosynthesis!!!tRNA modification,0,1
122,Photosystem I,1,0
123,Pyrimidine biosynthesis!!!Na+-translocating Fd:NADH oxidoreductase,1,0
