,feature_name,cultured_feature_counts,uncultured_feature_counts
73,Predicted permease,6,0
74,"Uncharacterized protein, contains DUF2293 domain",6,1
75,"Uncharacterized protein, contains GIY-YIG domain",6,0
76,"Uncharacterized protein, contains DUF3084 domain",7,0
77,Predicted nuclease (RNAse H fold),5,1
78,"Uncharacterized conserved protein, DUF2322 domain",6,0
79,"Uncharacterized conserved protein, DUF1499 family",6,0
80,Predicted ATPase,6,0
81,Extracellular substrate-binding protein,7,0
82,Predicted secreted protein,5,2
83,"Uncharacterized conserved protein, DUF736 family",3,0
84,"Uncharacterized membrane protein, YccA/Bax inhibitor family",5,1
85,"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA",6,0
86,"Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family",4,2
87,"Uncharacterized protein, contains PD-(D/E)XK nuclease domain",7,0
88,Predicted nucleotidyltransferase,6,0
89,"Predicted transcriptional regulator, contains C-terminal CBS domains",4,3
90,Uncharacterized Fe-S cluster-containing protein,5,1
91,"Uncharacterized conserved protein, contains FMN-binding domain",6,0
92,"Uncharacterized conserved protein, DUF1015 family",4,1
93,"Predicted nucleic acid-binding protein, contains Zn-ribbon domain",6,0
94,"Uncharacterized conserved protein, UPF0212 family",6,0
95,"Predicted outer membrane protein, contains DUF4142 domain",6,0
96,"Predicted methyltransferase, contains TPR repeat",7,0
97,Uncharacterized conserved protein,6,1
98,"Predicted transcription regulator, contains HTH domain, MarR family",7,0
99,"Uncharacterized conserved protein, DUF2247 domain",7,0
100,Putative hemolysin,6,1
101,"Uncharacterized protein CV0675, UCP033623 family",7,0
102,"Uncharacterized membrane protein, DUF1624 family",6,1
103,"Predicted sugar epimerase, xylose isomerase-like family",4,0
104,"Uncharacterized conserved protein, DUF937 domain",6,0
105,"Uncharacterized conserved protein, contains a C-terminal ATPase domain",7,0
106,"Uncharacterized conserved protein, DUF2163 domain",6,0
107,"Uncharacterized conserved protein, related to short-chain dehydrogenases",7,0
108,"TRAP-type uncharacterized transport system, fused permease components",7,0
109,Predicted heme/steroid binding protein,7,0
110,"Beta-xylosidase, GH43 family",5,0
111,"Predicted transcriptional regulator, contains HTH domain",7,0
112,"Uncharacterized conserved protein, DUF1415 family",6,0
113,Conjugal transfer/entry exclusion protein,6,0
114,Predicted DNA-binding protein with an HTH domain,7,0
115,"Uncharacterized conserved protein, DUF2321 domain",6,0
116,Uncharacterized conserved protein BH1414,7,0
117,"Uncharacterized conserved protein, DUF962 domain",7,0
118,"Bacillopeptidase F, M6 metalloprotease family",7,0
119,"Uncharacterized conserved protein, DUF1800 family",7,0
120,"Uncharacterized conserved protein, DUF2286 domain",7,0
121,Predicted hydrolase of the alpha/beta-hydrolase fold,6,0
122,"Predicted DNA-binding transcriptional regulator with XRE-family HTH domain, DUF2089 family",5,1
123,Protein required for attachment to host cells,6,0
124,"Uncharacterized conserved protein, DUF2149 domain",6,0
125,Predicted cation transporter,7,0
126,Predicted nucleotide-binding protein containing TIR -like domain,7,0
127,"Uncharacterized conserved protein, DUF1033 domain",7,0
128,Transposase,6,0
129,"Uncharacterized conserved protein, contains ACT domain",6,0
130,"Uncharacterized membrane protein, DUF1361 domain",5,0
131,"Uncharacterized conserved protein, DUF2117 domain",7,0
132,"Uncharacterized copper-binding protein, cupredoxin-like subfamily",6,0
133,Predicted extracellular nuclease,6,0
134,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains",6,0
135,"Uncharacterized protein, contains DUF2461 domain",6,1
136,"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily",6,1
137,"Uncharacterized conserved protein, DUF2281 domain",6,0
138,"Uncharacterized conserved protein, DUF2236 family",5,0
139,"Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family",6,0
140,"Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain",6,1
141,"Uncharacterized conserved protein, PA2063/DUF2235 family",6,0
142,"Uncharacterized protein, contains DUF4139 domain",6,0
143,Predicted N-acyltransferase,6,0
144,"Uncharacterized conserved protein, DUF1674 domain",6,1
145,"Uncharacterized conserved protein, DUF3820 family",6,1
146,Predicted transcriptional regulator,4,0
147,"Uncharacterized N-terminal domain of tricorn protease, contains WD40 repeats",6,1
148,Predicted SAM-depedendent methyltransferase,4,2
149,"Uncharacterized conserved protein, DUF2193 domain",7,0
150,Uncharacterized archaeal Zn-finger protein,4,1
151,"Uncharacterized conserved protein, DUF2390 domain",4,2
152,"Phage-related protein, tail protein J",6,0
153,Predicted ATP-dependent Lon-type protease,6,0
154,"Predicted ATPase, AAA+ superfamily",6,1
155,Predicted membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase,7,0
156,"Uncharacterized conserved protein, DUF2093 domain",6,0
157,"Uncharacterized conserved protein, contains a phytase-like domain",7,0
158,Uncharacterized membrane protein YjcL,5,0
159,Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase,6,0
160,"Uncharacterized conserved protein, conains N-terminal glutamine amidotransferase (GATase1)-like domain",4,1
161,"Predicted nuclease, contains PIN domain",7,0
162,Phage-related protein,7,0
163,"Uncharacterized conserved protein, DUF697 family",6,0
164,Uncharacterized low-complexity protein,5,0
165,"Uncharacterized conserved protein, DUF4810 domain",6,0
166,Steroid 5-alpha reductase family enzyme,6,1
167,"Uncharacterized conserved protein, DUF2150 domain",6,1
168,"Uncharacterized membrane protein, DUF4212 domain",6,0
169,"Uncharacterized conserved protein, DUF2125 domain",6,1
170,Predicted metal-dependent peptidase,6,0
171,"Uncharacterized conserved protein, DUF1489 domain",7,0
172,"Uncharacterized conserved protein, DUF2252 family",7,0
173,"Uncharacterized conserved protein, contains ferredoxin domain",7,0
174,Predicted amino acid dehydrogenase,7,0
175,Predicted P-loop ATPase/GTPase,5,0
176,Predicted archaeal methyltransferase,7,0
177,Predicted small metal-binding protein,5,1
178,"Predicted DNA-binding protein, UPF0251 family",4,1
179,"Cytolysin, a secreted calcineurin-like phosphatase",7,0
180,"Predicted P-loop ATPase, KAP-like",6,0
181,"Uncharacterized membrane protein, DUF2068 family",6,0
182,Roadblock/LC7 domain,7,0
183,"Uncharacterized conserved protein, DUF1513 domain",7,0
184,Muramidase (phage lambda lysozyme),6,1
185,"Uncharacterized conserved protein, DUF2066 domain",6,0
186,"Uncharacterized conserved protein, DUF763 domain",6,1
187,"Uncharacterized membrane protein, DUF373 family",6,0
188,Hemerythrin domain-containing protein,6,0
189,"Predicted acyltransferase, contains DUF342 domain",7,0
190,"Thiol-disulfide interchange protein, contains DsbC and DsbD domains",6,0
191,"Uncharacterized conserved protein, DUF473 domain",6,0
192,"Uncharacterized conserved protein MTH_811, UPF0305 family",6,1
193,"Uncharacterized conserved protein, DUF2203 domain",7,0
194,Predicted choloylglycine hydrolase,5,1
195,"Uncharacterized coiled-coil protein, contains DUF342 domain",4,1
196,"Putative phage head morphogenesis protein, F of phage Mu or gp7 of SPP1",5,0
197,"Predicted metal-dependent hydrolase, urease superfamily",5,2
198,Predicted thioesterase,6,0
199,"Uncharacterized conserved protein, DUF2264 domain",7,0
200,"Uncharacterized conserved protein, DUF483 domain",6,0
201,"Predicted methyltransferase MtxX, methanogen marker protein 4",6,0
202,"Uncharacterized conserved protein, DUF1073 domain",7,0
203,"Predicted metal-dependent phosphohydrolase, HD superfamily",5,1
204,"Uncharacterized conserved protein, DUF507 domain",5,1
205,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family",7,0
206,"Uncharacterized conserved protein, DUF951 family",7,0
207,Predicted RNA methylase,5,1
208,"Uncharacterized conserved protein, DUF2277 domain",7,0
209,"Uncharacterized conserved protein, contains Extensin-like_C domain",6,0
210,"Predicted transcriptional regulator,contains XRE-type HTH domain",7,0
211,"Uncharacterized conserved protein, DUF2099 domain",6,1
212,Uri superfamily endonuclease,7,0
213,"Predicted phosphohydrolase or phosphomutase, AlkP superfamily",6,0
214,"Uncharacterized conserved protein, UPF0548 family",5,1
215,Predicted exporter,6,0
216,Ubiquinone biosynthesis protein COQ9,4,2
217,Uncharacterized membrane protein,6,0
218,"Uncharacterized conserved protein, DUF2169 domain",7,0
219,"Uncharacterized conserved protein, MAPEG superfamily",7,0
220,"Uncharacterized conserved protein, nuclear transport factor 2 (NTF2) superfamily",5,1
221,Lysozyme family protein,7,0
222,"Uncharacterized protein, contains DUF1214 domain",6,0
223,Phage-related holin (Lysis protein),7,0
224,Mu-like prophage DNA circulation protein,7,0
225,"Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain",6,0
226,"Uncharacterized conserved protein, DUF2239 domain",7,0
227,"Uncharacterized conserved protein, DUF2112 domain",4,1
228,"Phage terminase, small subunit",6,0
229,"Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain",6,1
230,Predicted thioredoxin/glutaredoxin,6,0
231,Predicted proteasome-type protease,5,0
232,Bacteriorhodopsin,7,0
233,Phage-related tail protein,6,0
234,"Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)",7,0
235,Mu-like prophage FluMu protein gp28,5,0
236,"Uncharacterized conserved protein, DUF2199 domain",7,0
237,"Uncharacterized conserved protein, DUF1501 family",7,0
238,Predicted deacetylase,5,0
239,"Predicted hydrolase, metallo-beta-lactamase superfamily",5,1
240,Predicted glycosyl transferase,5,1
241,"Predicted DNA-binding protein AF1194, contains HTH domain, DUF2240 family",7,0
242,"Transposase, IS1182 family",5,0
243,Capsular polysaccharide biosynthesis protein,5,0
244,"Uncharacterized conserved protein, DUF1802 family",5,0
245,"Predicted hydrolase, HD superfamily",6,1
246,Predicted protein tyrosine phosphatase,6,0
247,"Uncharacterized conserved protein, DUF2290 domain",5,1
248,"Uncharacterized conserved protein, DUF1178 domain",7,0
249,"Predicted nuclease, RecB family",7,0
250,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily,6,1
251,"Uncharacterized conserved protein, DUF2132 family",3,2
252,Uncharacterized membrane-anchored protein,5,0
253,"Predicted nucleic-acid-binding protein, contains PIN domain",4,3
254,"Endonuclease, HJR/Mrr/RecB family",6,1
255,"Predicted phage recombinase, RecA/RadA family",6,0
256,"Uncharacterized metal-binding protein, DUF2103 family",7,0
257,"Uncharacterized conserved protein, DUF2304 domain",6,0
258,"Predicted restriction endonuclease, Mrr-cat superfamily",5,1
259,Predicted phosphoribosyltransferase,7,0
260,"Phage-related protein, predicted endonuclease",4,2
261,"Uncharacterized conserved protein, contains von Willebrand factor type A (vWFA) domain",7,0
262,Predicted ABC-type ATPase or kinase,7,0
263,"Uncharacterized protein, contains DUF2272 domain",7,0
264,"Predicted DNA-binding transcriptional regulator, ArsR family",6,0
265,Hemerythrin domain,7,0
266,Predicted aspartyl protease,6,1
267,"Uncharacterized conserved protein, DUF2255 domain",7,0
268,"Uncharacterized conserved protein, DUF1272 domain",6,0
269,Aminoglycoside phosphotransferase family enzyme,5,0
270,Uncharacterized radical SAM domain-containing protein,6,0
271,"Predicted regulator of amino acid metabolism, contains ACT domain",6,1
272,"Uncharacterized conserved protein, DUF2316 domain",7,0
273,Secreted trypsin-like serine protease,6,0
274,Mu-like prophage I protein,5,0
275,Phage large terminase packaging protein,7,0
276,"Uncharacterized metal-binding protein, DUF2227 family",7,0
277,CBS-domain-containing membrane protein,6,1
278,"Uncharacterized membrane protein, DUF1648 family",6,0
279,Predicted P-loop ATPase and inactivated derivatives,7,0
280,"Predicted N-acetyltransferase, GNAT superfamily",7,0
281,Soluble P-type ATPase,5,1
282,Phage terminase large subunit,6,1
283,"Uncharacterized conserved protein, DUF1643 domain",7,0
284,"Predicted acyltransferase, LPLAT superfamily",6,0
285,"Uncharacterized membrane protein, UPF0136 family",7,0
286,"Uncharacterized conserved protein, contains GYD domain",7,0
287,Predicted dioxygenase of extradiol dioxygenase family,6,0
288,"Uncharacterized membrane protein MJ1443, UPF0132 family",6,1
289,Phage head maturation protease,7,0
290,HKD family nuclease,5,0
291,Site-specific recombinase,7,0
292,"MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain",5,1
293,Mannosyltransferase related to Gpi18,4,2
294,"Uncharacterized conserved protein, DUF2171 domain",5,1
295,"Uncharacterized conserved protein, UPF0160 family",6,0
296,"Uncharacterized conserved protein, DUF2126 family",6,0
297,"Serine protease, subtilase family",6,0
298,"Archaeal flagellin (archaellin), FlaG/FlaF family",5,1
299,Phage terminase large (ATPase) subunit and inactivated derivatives,6,1
300,"Uncharacterized conserved protein, DUF2274 domain",6,0
301,"Uncharacterized conserved protein, DUF2153 domain",6,1
302,"Uncharacterized conserved protein, contains ParB-like nuclease domain",6,1
303,"Uncharacterized conserved protein, DUF2062 family",6,0
304,"Predicted nucleic acid-binding protein, contains PIN domain",4,2
305,"Possible nuclease of RNase H fold, RuvC/YqgF family",6,0
306,"Uncharacterized conserved protein, DUF1820 domain",7,0
307,"Predicted GntP-related membrane permease AF0261, DUF401 family",7,0
308,Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats,6,0
309,"Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily",6,0
310,"Bacteriophage DNA transposition protein, AAA+ family ATPase",5,2
311,"Uncharacterized membrane protein, DUF368 family",6,0
312,Predicted Zn-dependent protease,5,1
313,"Uncharacterized conserved protein, DUF2344 family",5,1
314,"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain",4,0
315,"Superfamily II helicase, archaea-specific",6,1
316,"Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain",6,1
317,"Uncharacterized conserved protein, DUF1326 domain",6,0
318,"Uncharacterized conserved protein YoxC, contains an MCP-like domain",6,0
319,"Uncharacterized conserved protein, DUF169 family",7,0
320,Predicted small secreted protein,7,0
321,"ABC-type uncharacterized transport system, permease component",6,1
322,"Predicted transcriptional regulator, ArsR family",6,1
323,"Uncharacterized conserved protein, DUF1150 family",6,0
324,Phage tail protein,7,0
325,"Predicted transcriptional regulator, contains two HTH domains",4,1
326,"Uncharacterized conserved protein, DUF1152 domain",6,1
327,"Pheromone shutdown protein TraB, contains GTxH motif (function unknown)",7,0
328,Predicted metal-binding protein,6,0
329,"Uncharacterized conserved protein, DUF2067 domain",5,1
330,Predicted neuraminidase (sialidase),7,0
331,"Uncharacterized conserved protein, DUF2087 family",4,1
332,"Uncharacterized conserved protein, DUF1330 family",6,0
333,Uncharacterized conserved protein MJ0498,7,0
334,"Uncharacterized conserved protein, DUF2175 family",6,0
335,"Predicted butyrate kinase, DUF1464 family",7,0
336,"Predicted ATPase, archaeal AAA+ ATPase superfamily",5,1
337,"Predicted transciptional regulator, contains HTH domain",6,1
338,Phage capsid portal protein XkdE,6,0
339,"Uncharacterized conserved protein, DUF2248 family",6,0
340,Predicted Ser/Thr protein kinase,7,0
341,"Uncharacterized conserved protein domain, often C-terminal to DUF262",6,0
342,"Predicted metal-dependent hydrolase, TIM-barrel fold",6,1
343,"Uncharacterized conserved protein, contains metal-binding DGC domain",6,0
344,"Uncharacterized protein, contains GH25 family domain",5,1
345,"Uncharacterized metal-binding protein MJ0455, DUF1847 family",7,0
346,"Uncharacterized conserved protein, DUF2336 family",7,0
347,Prophage antirepressor,7,0
348,Predicted metal-binding membrane protein,4,1
349,"Predicted RNase MK1237, contains PIN domain, UPF0278 family",5,0
350,"Uncharacterized conserved protein, heparinase superfamily",6,0
351,Selenophosphate synthetase-related protein,7,0
352,Spore maturation protein CgeB,5,1
353,"Predicted antitoxin, contains HTH domain",5,1
354,Endo-beta-N-acetylglucosaminidase D,5,1
355,"Predicted acetyltransferase, GNAT superfamily",7,0
356,Uncharacterized conserved protein MJ1451,5,1
357,Predicted periplasmic lipoprotein,5,0
358,Superfamily I DNA and RNA helicases,7,0
359,"Uncharacterized conserved protein, DUF166 domain",6,0
360,"Predicted NTP pyrophosphohydrolase, NUDIX family",7,0
361,"Uncharacterized conserved protein, DUF2256 family",6,0
362,"Uncharacterized protein, contains DUF1512 domain",5,1
363,"Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7",6,0
364,Predicted oxidoreductase of the aldo/keto reductase family,6,0
365,"Predicted acetyltransferase, GNAT family",7,0
366,"Aromatic ring-opening dioxygenase, LigB subunit",5,1
367,"Uncharacterized Zn-finger containing protein, UPF0148 family",7,0
368,"Phage-related protein, tail assembly protein I",5,1
369,"Uncharacterized membrane protein, contains DUF996 domain",6,1
370,Phosphatidylethanolamine N-methyltransferase,5,0
371,"Uncharacterized protein, contains SWIM-type Zn finger domain",4,1
372,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown),7,0
373,Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme,7,0
374,"Uncharacterized conserved protein, DUF934 family",5,1
375,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily",6,0
376,"Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains",7,0
377,"Uncharacterized conserved protein, DUF362 family",5,0
378,N-acyl-D-aspartate/D-glutamate deacylase,5,0
379,Predicted dienelactone hydrolase,6,0
380,"Uncharacterized conserved protein, DUF2325 domain",7,0
381,"Uncharacterized conserved protein, DUF2267 family",7,0
382,"Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family",6,0
383,"Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain",7,0
384,Phage capsid protein,5,0
385,"Uncharacterized conserved protein, DUF2076 domain",3,1
386,"Uncharacterized conserved protein, DUF2460 domain",6,0
387,"Predicted ATP-dependent carboligase, ATP-grasp superfamily",7,0
388,"Uncharacterized conserved protein, DUF1851 domain",6,0
389,"Predicted protease, Abi (CAAX) family",7,0
390,Predicted glycosyltransferase,5,1
391,Predicted secreted (periplasmic) protein,7,0
392,"Uncharacterized conserved protein, DUF2111 domain",7,0
393,NAD kinase,7,0
394,"Uncharacterized conserved protein, DUF432 domain",6,1
395,"Uncharacterized conserved protein, DUF1704 domain",7,0
396,"Uncharacterized conserved protein, DUF2333 domain",5,1
397,"Uncharacterized protein, contains Mth938-like domain",7,0
398,"Uncharacterized membrane protein, DUF1616 domain",7,0
399,Predicted acetyltransferase,6,0
400,Predicted periplasmic protein,7,0
401,Predicted transcriptional regulator with an HTH domain,6,1
402,Predicted metal-dependent hydrolase,7,0
403,"Uncharacterized conserved protein, DUF2225 family",6,0
404,Uncharacterized conserved protein YtzB,7,0
405,Predicted outer membrane lipoprotein,6,0
406,Bacteriophage protein gp37,4,2
407,"Predicted Co/Zn/Cd cation transporter, cation efflux family",6,0
408,"Uncharacterized conserved protein MJ0802, methanogenesis marker protein 17, contains DUF2113 domain",6,0
409,"Uncharacterized conserved protein, DUF356 domain",6,1
410,"Predicted ABC-type sugar transport system, permease component",6,0
411,Predicted oxidoreductase,7,0
412,"Uncharacterized conserved protein, DUF501 family",5,1
413,Prophage pi2 protein 07,6,1
414,"Predicted nucleic-acid-binding protein, contains Zn-ribbon domain",7,0
415,"Predicted house-cleaning noncanonical NTP pyrophosphatase, all-alpha NTP-PPase (MazG) superfamily",6,0
416,Metallophosphoesterase superfamily enzyme,5,1
417,"Uncharacterized conserved protein, DUF779 family",5,2
418,"Uncharacterized conserved protein, cupin superfamily",5,0
419,Ubiquitin C-terminal hydrolase,7,0
420,NCAIR mutase (PurE)-related protein,5,1
421,"Uncharacterized conserved protein, UCP014979 family",7,0
422,Predicted secreted Zn-dependent protease,6,0
423,"Uncharacterized conserved protein, DUF2251 domain",5,2
424,Uncharacterized conserved protein YezD,5,0
425,"Uncharacterized protein, contains ferritin-like DUF455 domain",7,0
426,"Uncharacterized conserved protein, DUF1284 domain",7,0
427,"Biotin synthase-related protein, radical SAM superfamily",6,0
428,"DNA replication initiation complex subunit, GINS family",4,1
429,"Uncharacterized conserved protein, DUF2145 domain",6,0
430,"Uncharacterized conserved protein, DUF2096 domain",5,1
431,"Uncharacterized conserved protein, DUF2195 domain",7,0
432,Predicted spermidine synthase with an N-terminal membrane domain,7,0
433,"Uncharacterized conserved protein, DUF488 family",7,0
434,"Uncharacterized conserved protein, UPF0248 family",7,0
435,Phage-related minor tail protein,4,1
436,"Uncharacterized conserved protein, DUF1062 domain",6,0
437,Predicted component of the type VI protein secretion system,7,0
438,"Predicted DNA binding protein, CopG/RHH family",7,0
439,"Uncharacterized protein, contains phage Mu head morphogenesis gpF-like domain",6,0
440,"Uncharacterized conserved protein, DUF721 domain",7,0
441,"Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains",5,1
442,"Uncharacterized membrane protein, DUF2243 domain",6,1
443,"Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily",4,0
444,"Predicted dithiol-disulfide oxidoreductase, DUF899 family",6,0
445,Uncharacterized conserved protein related to proFAR isomerase (HisA),7,0
